Area,Element,Item,Year,Value
France,Area harvested,Grapes,1995,894800.0
France,Area harvested,Grapes,1996,886690.0
France,Area harvested,Grapes,1997,878148.0
France,Area harvested,Grapes,1998,862677.0
France,Area harvested,Grapes,1999,863355.0
France,Area harvested,Grapes,2000,860979.0
France,Area harvested,Grapes,2001,861343.0
France,Area harvested,Grapes,2002,861575.0
France,Area harvested,Grapes,2003,851208.0
France,Area harvested,Grapes,2004,851970.0
France,Area harvested,Grapes,2005,854824.0
France,Area harvested,Grapes,2006,885165.0
France,Area harvested,Grapes,2007,828885.0
France,Area harvested,Grapes,2008,814697.0
France,Area harvested,Grapes,2009,796128.0
France,Area harvested,Grapes,2010,771530.0
France,Area harvested,Grapes,2011,764164.0
France,Area harvested,Grapes,2012,760804.0
France,Area harvested,Grapes,2013,760546.0
France,Area harvested,Grapes,2014,757339.0
France,Area harvested,Grapes,2015,752101.0
France,Area harvested,Grapes,2016,751366.0
France,Area harvested,Grapes,2017,750463.0
France,Area harvested,Grapes,2018,750620.0
France,Area harvested,Grapes,2019,755470.0
France,Area harvested,Grapes,2020,759590.0
France,Area harvested,Grapes,2021,757830.0
France,Area harvested,Grapes,2022,757550.0
France,Area harvested,Grapes,2023,753340.0
France,Area harvested,Grapes,2024,741330.0
France,Production,Grapes,1995,7212900.0
France,Production,Grapes,1996,7716400.0
France,Production,Grapes,1997,7190900.0
France,Production,Grapes,1998,6919069.0
France,Production,Grapes,1999,8040710.0
France,Production,Grapes,2000,7762582.0
France,Production,Grapes,2001,7225357.0
France,Production,Grapes,2002,6853482.0
France,Production,Grapes,2003,6307112.0
France,Production,Grapes,2004,7564902.0
France,Production,Grapes,2005,6790215.0
France,Production,Grapes,2006,6776880.0
France,Production,Grapes,2007,6019056.0
France,Production,Grapes,2008,6019149.0
France,Production,Grapes,2009,6101525.0
France,Production,Grapes,2010,5893530.0
France,Production,Grapes,2011,6640980.0
France,Production,Grapes,2012,5384561.0
France,Production,Grapes,2013,5540835.0
France,Production,Grapes,2014,6204909.0
France,Production,Grapes,2015,6258363.0
France,Production,Grapes,2016,6027505.7
France,Production,Grapes,2017,5011053.7
France,Production,Grapes,2018,6267790.0
France,Production,Grapes,2019,5489650.0
France,Production,Grapes,2020,5857870.0
France,Production,Grapes,2021,5073590.0
France,Production,Grapes,2022,6199950.0
France,Production,Grapes,2023,6205260.0
France,Production,Grapes,2024,4747450.0
France,Area harvested,Maize (corn),1995,1630416.0
France,Area harvested,Maize (corn),1996,1707552.0
France,Area harvested,Maize (corn),1997,1824033.0
France,Area harvested,Maize (corn),1998,1761004.0
France,Area harvested,Maize (corn),1999,1715168.0
France,Area harvested,Maize (corn),2000,1764767.0
France,Area harvested,Maize (corn),2001,1915822.0
France,Area harvested,Maize (corn),2002,1829333.0
France,Area harvested,Maize (corn),2003,1684639.0
France,Area harvested,Maize (corn),2004,1821419.0
France,Area harvested,Maize (corn),2005,1658529.0
France,Area harvested,Maize (corn),2006,1503619.0
France,Area harvested,Maize (corn),2007,1529775.0
France,Area harvested,Maize (corn),2008,1757438.0
France,Area harvested,Maize (corn),2009,1744416.0
France,Area harvested,Maize (corn),2010,1582727.0
France,Area harvested,Maize (corn),2011,1596711.0
France,Area harvested,Maize (corn),2012,1709936.0
France,Area harvested,Maize (corn),2013,1843477.0
France,Area harvested,Maize (corn),2014,1825121.0
France,Area harvested,Maize (corn),2015,1637081.0
France,Area harvested,Maize (corn),2016,1442805.0
France,Area harvested,Maize (corn),2017,1435699.0
France,Area harvested,Maize (corn),2018,1426260.0
France,Area harvested,Maize (corn),2019,1506100.0
France,Area harvested,Maize (corn),2020,1730030.0
France,Area harvested,Maize (corn),2021,1549470.0
France,Area harvested,Maize (corn),2022,1456090.0
France,Area harvested,Maize (corn),2023,1314680.0
France,Area harvested,Maize (corn),2024,1593920.0
France,Production,Maize (corn),1995,12583865.9
France,Production,Maize (corn),1996,14318927.9
France,Production,Maize (corn),1997,16534987.8
France,Production,Maize (corn),1998,14885495.1
France,Production,Maize (corn),1999,15354734.8
France,Production,Maize (corn),2000,16018168.3
France,Production,Maize (corn),2001,16420734.7
France,Production,Maize (corn),2002,16418382.6
France,Production,Maize (corn),2003,12045463.6
France,Production,Maize (corn),2004,16375868.0
France,Production,Maize (corn),2005,13689322.4
France,Production,Maize (corn),2006,12903718.5
France,Production,Maize (corn),2007,14505519.1
France,Production,Maize (corn),2008,16037987.9
France,Production,Maize (corn),2009,15513841.1
France,Production,Maize (corn),2010,13975284.8
France,Production,Maize (corn),2011,15914121.2
