Area,Item,Year,production_t,area_ha,Annual Yield (t/ha)
France,Grapes,1995,7212900.0,894800.0,8.060907465355386
France,Grapes,1996,7716400.0,886690.0,8.70247775434481
France,Grapes,1997,7190900.0,878148.0,8.188710786792203
France,Grapes,1998,6919069.0,862677.0,8.020463047003688
France,Grapes,1999,8040710.0,863355.0,9.313329974344272
France,Grapes,2000,7762582.0,860979.0,9.01599458291085
France,Grapes,2001,7225357.0,861343.0,8.388478225283075
France,Grapes,2002,6853482.0,861575.0,7.954597104140673
France,Grapes,2003,6307112.0,851208.0,7.40960141352055
France,Grapes,2004,7564902.0,851970.0,8.879305609352443
France,Grapes,2005,6790215.0,854824.0,7.943407063910231
France,Grapes,2006,6776880.0,885165.0,7.656064123637965
France,Grapes,2007,6019056.0,828885.0,7.261629779764382
France,Grapes,2008,6019149.0,814697.0,7.38820567646622
France,Grapes,2009,6101525.0,796128.0,7.664000010048635
France,Grapes,2010,5893530.0,771530.0,7.638756756056148
France,Grapes,2011,6640980.0,764164.0,8.690516695369057
France,Grapes,2012,5384561.0,760804.0,7.077461474965957
France,Grapes,2013,5540835.0,760546.0,7.28533842791889
France,Grapes,2014,6204909.0,757339.0,8.193040368976112
France,Grapes,2015,6258363.0,752101.0,8.321173618968729
France,Grapes,2016,6027505.7,751366.0,8.02206341516651
France,Grapes,2017,5011053.7,750463.0,6.677282824069941
France,Grapes,2018,6267790.0,750620.0,8.350150542218433
France,Grapes,2019,5489650.0,755470.0,7.2665360636425005
France,Grapes,2020,5857870.0,759590.0,7.71188404270725
France,Grapes,2021,5073590.0,757830.0,6.69489199424673
France,Grapes,2022,6199950.0,757550.0,8.18421226321695
France,Grapes,2023,6205260.0,753340.0,8.236997902673428
France,Grapes,2024,4747450.0,741330.0,6.4039631473163094
France,Maize (corn),1995,12583865.9,1630416.0,7.718193332253854
France,Maize (corn),1996,14318927.9,1707552.0,8.385646762148387
France,Maize (corn),1997,16534987.8,1824033.0,9.065070533263379
France,Maize (corn),1998,14885495.1,1761004.0,8.452845706199417
France,Maize (corn),1999,15354734.8,1715168.0,8.952321172036791
France,Maize (corn),2000,16018168.3,1764767.0,9.076647682101944
France,Maize (corn),2001,16420734.7,1915822.0,8.57111709751741
France,Maize (corn),2002,16418382.6,1829333.0,8.975065010033711
France,Maize (corn),2003,12045463.6,1684639.0,7.150174963300743
France,Maize (corn),2004,16375868.0,1821419.0,8.990719872802469
France,Maize (corn),2005,13689322.4,1658529.0,8.2538939023677
France,Maize (corn),2006,12903718.5,1503619.0,8.58177403983323
France,Maize (corn),2007,14505519.1,1529775.0,9.48212586818323
France,Maize (corn),2008,16037987.9,1757438.0,9.125777353169784
France,Maize (corn),2009,15513841.1,1744416.0,8.893429720892264
France,Maize (corn),2010,13975284.8,1582727.0,8.829877041334356
France,Maize (corn),2011,15914121.2,1596711.0,9.96681378157976
France,Maize (corn),2012,15393496.8,1709936.0,9.002381843530987
France,Maize (corn),2013,15041226.0,1843477.0,8.159161193765911
France,Maize (corn),2014,18343320.0,1825121.0,10.050467886786684
France,Maize (corn),2015,13716048.4,1637081.0,8.37835659933748
France,Maize (corn),2016,11839729.0,1442805.0,8.206049327525202
France,Maize (corn),2017,14534897.0,1435699.0,10.123916642694605
France,Maize (corn),2018,12580430.0,1426260.0,8.82057268660693
France,Maize (corn),2019,12845020.0,1506100.0,8.528663435362859
France,Maize (corn),2020,13726410.0,1730030.0,7.93420345311931
France,Maize (corn),2021,15358290.0,1549470.0,9.911963445565258
France,Maize (corn),2022,10877190.0,1456090.0,7.4701357745743735
France,Maize (corn),2023,12834600.0,1314680.0,9.762527763410107
France,Maize (corn),2024,14670620.0,1593920.0,9.204113129893596
France,Sugar beet,1995,30342117.4,454774.0,66.71911191053138
France,Sugar beet,1996,30921147.2,456361.0,67.75589325117615
France,Sugar beet,1997,34005438.9,457585.0,74.31502103434335
France,Sugar beet,1998,30789879.5,450557.0,68.33736796898062
France,Sugar beet,1999,32473614.4,435707.0,74.5308530732809
France,Sugar beet,2000,31120959.1,409664.0,75.96703420364005
