Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1330,Grapes,1995,1995,ha,4342,A,Official figure,
QCL,Crops and livestock products,8,Albania,5510,Production,1330,Grapes,1995,1995,t,55493,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1330,Grapes,1996,1996,ha,4345,A,Official figure,
QCL,Crops and livestock products,8,Albania,5510,Production,1330,Grapes,1996,1996,t,59115,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1330,Grapes,1997,1997,ha,4121,A,Official figure,
QCL,Crops and livestock products,8,Albania,5510,Production,1330,Grapes,1997,1997,t,67466,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1330,Grapes,1998,1998,ha,4306,A,Official figure,
QCL,Crops and livestock products,8,Albania,5510,Production,1330,Grapes,1998,1998,t,68327,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1330,Grapes,1999,1999,ha,5377,A,Official figure,
QCL,Crops and livestock products,8,Albania,5510,Production,1330,Grapes,1999,1999,t,70400,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1330,Grapes,2000,2000,ha,4613,A,Official figure,
QCL,Crops and livestock products,8,Albania,5510,Production,1330,Grapes,2000,2000,t,79300,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1330,Grapes,2001,2001,ha,4878,A,Official figure,
QCL,Crops and livestock products,8,Albania,5510,Production,1330,Grapes,2001,2001,t,85100,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1330,Grapes,2002,2002,ha,5202,A,Official figure,
QCL,Crops and livestock products,8,Albania,5510,Production,1330,Grapes,2002,2002,t,83100,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1330,Grapes,2003,2003,ha,5741,A,Official figure,
QCL,Crops and livestock products,8,Albania,5510,Production,1330,Grapes,2003,2003,t,105500,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1330,Grapes,2004,2004,ha,6364,A,Official figure,
QCL,Crops and livestock products,8,Albania,5510,Production,1330,Grapes,2004,2004,t,97100,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1330,Grapes,2005,2005,ha,6637,A,Official figure,
QCL,Crops and livestock products,8,Albania,5510,Production,1330,Grapes,2005,2005,t,115100,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1330,Grapes,2006,2006,ha,6915,A,Official figure,
QCL,Crops and livestock products,8,Albania,5510,Production,1330,Grapes,2006,2006,t,127800,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1330,Grapes,2007,2007,ha,7497,A,Official figure,
QCL,Crops and livestock products,8,Albania,5510,Production,1330,Grapes,2007,2007,t,146500,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1330,Grapes,2008,2008,ha,8061,A,Official figure,
QCL,Crops and livestock products,8,Albania,5510,Production,1330,Grapes,2008,2008,t,153900,A,Official figure,
